feature_a,feature_b,pearson,spearman,abs_pearson,nonlinearity
i_d,torque,-0.27409727560223895,-0.3319176459055334,0.27409727560223895,0.057820370303294455
torque,coolant,-0.257982401078228,-0.2641280589813169,0.257982401078228,0.006145657903088908
i_q,coolant,-0.2563889655717663,-0.2598669090618841,0.2563889655717663,0.003477943490117763
motor_speed,stator_yoke,0.25578987166657824,0.2652273530968051,0.25578987166657824,0.00943748143022688
u_d,stator_winding,-0.23495020384567472,-0.25826631816203455,0.23495020384567472,0.023316114316359826
i_q,i_d,-0.23134438180924918,-0.31733707532072813,0.23134438180924918,0.08599269351147895
u_d,ambient,0.20364733441316443,0.22819406407083384,0.20364733441316443,0.02454672965766941
u_d,coolant,0.19551700858521068,0.18864991010727972,0.19551700858521068,-0.006867098477930961
u_d,pm,-0.1720305827448692,-0.1451317112379296,0.1720305827448692,-0.02689887150693962
u_q,ambient,0.1502643032771365,0.11407163680751875,0.1502643032771365,-0.036192666469617746
u_d,stator_tooth,-0.1427494879719957,-0.16831360227779563,0.1427494879719957,0.02556411430579994
i_q,pm,-0.14241620323958512,-0.1090471005938101,0.14241620323958512,-0.033369102645775015
u_q,torque,-0.1362149071319445,-0.15663270225250872,0.1362149071319445,0.020417795120564214
i_q,stator_yoke,-0.13146594116480187,-0.08845066623653407,0.13146594116480187,-0.0430152749282678
u_q,i_q,-0.12458913150197812,-0.08552669088969997,0.12458913150197812,-0.03906244061227815
u_q,pm,0.12236464038557067,0.11348570066187343,0.12236464038557067,-0.008878939723697243
motor_speed,ambient,0.11823213820877039,0.09722271251297646,0.11823213820877039,-0.021009425695793935
torque,pm,-0.1171381414449006,-0.09320073639651082,0.1171381414449006,-0.023937405048389787
torque,stator_yoke,-0.11711839451064278,-0.08309051276757981,0.11711839451064278,-0.03402788174306297
u_q,stator_tooth,0.10437323522983943,0.10681019314125494,0.10437323522983943,0.002436957911415502
u_q,i_d,-0.10035698043846213,-0.29989749843557145,0.10035698043846213,0.1995405179971093
torque,stator_winding,0.09550988491470729,0.11938534872933008,0.09550988491470729,0.0238754638146228
u_q,stator_yoke,0.09099202420150013,0.07511446774019201,0.09099202420150013,-0.015877556461308118
i_d,coolant,0.07486479856915408,-0.04017337360300562,0.07486479856915408,-0.03469142496614846
i_q,motor_speed,-0.06888052530693907,0.005524028100722961,0.06888052530693907,-0.06335649720621611
i_q,stator_winding,0.06561715785505905,0.10158617254039003,0.06561715785505905,0.03596901468533098
u_q,coolant,0.05172099605599661,0.02647056751957699,0.05172099605599661,-0.02525042853641962
u_q,stator_winding,0.05060982647731332,0.08634123671435531,0.05060982647731332,0.035731410237041995
motor_speed,torque,-0.04390255895653573,-0.009560964416450107,0.04390255895653573,-0.03434159454008562
i_q,stator_tooth,-0.04229355952694504,0.0031247036360229487,0.04229355952694504,-0.03916885589092209
torque,stator_tooth,-0.018413028012502896,0.014796943783644032,0.018413028012502896,-0.0036160842288588645
i_d,ambient,0.016396810017652325,-0.018498212444502695,0.016396810017652325,0.0021014024268503698
motor_speed,coolant,0.011872328228650624,0.05572420032625515,0.011872328228650624,0.04385187209760452
u_d,stator_yoke,-0.008097952426378875,-0.039659231192628,0.008097952426378875,0.031561278766249125
u_q,u_d,0.004701759285721013,-0.12395530446044044,0.004701759285721013,0.11925354517471942
