spany,MSE_val,MSE_test,MSE_train
"(1320, 6360, 9480, 14400)",57.230955796880046,67.42645229819065,14.282524464480547
"(360, 3360, 6360, 21600)",57.33639961888563,66.03887184117977,14.83804264833441
"(120, 3360, 14400, 21600)",57.53527089709017,80.50810553031722,14.741220943495268
"(360, 1320, 9480, 21600)",57.577351290872976,67.5092113591266,14.580583473276437
"(120, 3360, 9480, 21600)",57.60400978136323,73.48887911651397,14.887996024561378
"(60, 3360, 14400, 21600)",57.680285805838174,82.09544843275418,14.890645850187356
"(120, 3360, 6360, 21600)",57.70087836359065,67.97474730949239,14.991169735170004
"(60, 3360, 9480, 21600)",57.746923666469115,74.62578048026826,15.028957167931857
"(60, 3360, 6360, 21600)",57.83477309214959,68.78944281295828,15.11814828435294
"(1320, 3360, 6360, 14400)",58.29222055558984,60.50996997050595,14.700520785512666
"(360, 3360, 9480, 14400)",58.45046619693583,66.12055808368736,14.868085303867113
"(120, 1320, 9480, 21600)",58.70213130934868,69.67274704717775,14.722695651099572
"(120, 3360, 9480, 14400)",58.839802977874854,68.39119038426867,15.046147176413783
"(360, 1320, 6360, 21600)",58.90064657889826,62.51813259632258,14.730636336811736
"(360, 3360, 6360, 14400)",58.972554362856826,62.24964851737941,15.00308246991509
"(360, 1320, 3360, 9480)",58.991815507962755,47.44433305713622,15.443063308275208
"(60, 3360, 9480, 14400)",58.995221791973904,69.30408654459063,15.18488364979138
"(360, 1320, 3360, 21600)",59.05129259694342,54.43687247524579,15.047406455123783
"(60, 1320, 9480, 21600)",59.112806545734166,70.55176831992189,14.873499748390572
"(120, 3360, 6360, 14400)",59.35199608938189,63.89550898268754,15.146026624266804
"(60, 3360, 6360, 14400)",59.503335644863014,64.57074464580089,15.272298225981663
"(120, 1320, 3360, 9480)",59.602892524036314,47.83517978922261,15.487485042006687
"(60, 1320, 3360, 9480)",59.858704509800454,47.93664073221427,15.593688531769676
"(360, 1320, 3360, 14400)",59.90292077882451,50.81576055655126,15.197813060836996
"(360, 1320, 9480, 14400)",59.91446110114223,63.59370433744068,14.740008182536364
"(120, 1320, 3360, 21600)",60.00619232568792,55.13334714790172,15.059877041781608
"(120, 1320, 6360, 21600)",60.208560663537604,64.17614333670997,14.816270670732358
"(1320, 3360, 6360, 9480)",60.308739292778846,57.9236591618438,14.892896195366706
"(360, 3360, 6360, 9480)",60.3290820756435,58.936620552891476,15.17002559037619
"(60, 1320, 3360, 21600)",60.34232875948918,55.392377505346204,15.143003102458563
"(360, 6360, 9480, 14400)",60.53233995488584,74.23817157952885,14.872181843952573
"(360, 6360, 9480, 21600)",60.64101213935855,80.04169025444006,14.730535967447564
"(60, 1320, 6360, 21600)",60.66185452919104,64.84491457904943,14.940970264631293
"(120, 3360, 6360, 9480)",60.7040359391256,60.28505608434559,15.293423865082172
"(120, 1320, 3360, 14400)",60.76341671161737,51.35013663088995,15.217569965752112
"(120, 360, 3360, 9480)",60.83034576778567,45.10379957385381,15.832054515399436
"(60, 3360, 6360, 9480)",60.8669329795568,60.82336166238119,15.416633515819283
"(360, 1320, 6360, 14400)",60.917407131028114,58.79734505070183,14.883857493055693
"(60, 360, 3360, 9480)",60.944064528373424,44.97812205386343,15.939063090193788
"(60, 1320, 3360, 14400)",61.079719701912154,51.521669890465276,15.30922335401291
"(60, 120, 3360, 9480)",61.19564206876044,44.0953567531004,16.28761993381201
"(120, 6360, 9480, 14400)",61.21568823798567,78.63390196858388,15.213568743811189
"(120, 360, 14400, 21600)",61.300596234799656,82.53020921232715,16.10955656617125
