Model,Dataset,profile_id,n_test,MSE,RMSE,MAE,R2,linf
WLS,HYBRID_AUG,2,19297,140.552,11.855,9.287,-1.4745,24.99
WLS,HYBRID_AUG,6,40328,25.983,5.097,3.929,0.8659,23.0
WLS,HYBRID_AUG,12,21882,36.903,6.075,5.013,0.0603,14.3
WLS,HYBRID_AUG,14,18538,43.31,6.581,6.006,0.5078,20.78
WLS,HYBRID_AUG,20,43911,47.219,6.872,5.266,0.8701,19.05
WLS,HYBRID_AUG,26,16606,51.183,7.154,5.591,0.9054,29.38
WLS,HYBRID_AUG,43,8383,58.085,7.621,5.229,0.4379,20.75
WLS,HYBRID_AUG,45,17082,42.811,6.543,4.277,0.7895,21.36
WLS,HYBRID_AUG,56,33063,16.286,4.036,3.149,0.8654,15.65
WLS,HYBRID_AUG,59,7415,39.732,6.303,4.383,0.6602,18.83
WLS,HYBRID_AUG,65,40034,33.636,5.8,3.893,0.8536,72.88
HistGB,HYBRID_AUG,2,19297,70.014,8.367,6.332,-0.2326,19.1
HistGB,HYBRID_AUG,6,40328,70.375,8.389,7.213,0.6367,19.09
HistGB,HYBRID_AUG,12,21882,9.437,3.072,2.432,0.7597,8.72
HistGB,HYBRID_AUG,14,18538,31.379,5.602,4.017,0.6434,21.25
HistGB,HYBRID_AUG,20,43911,35.686,5.974,4.933,0.9018,19.63
HistGB,HYBRID_AUG,26,16606,7.883,2.808,1.88,0.9854,13.75
HistGB,HYBRID_AUG,43,8383,57.028,7.552,5.432,0.4481,24.23
HistGB,HYBRID_AUG,45,17082,61.885,7.867,6.205,0.6957,23.4
HistGB,HYBRID_AUG,56,33063,38.834,6.232,5.138,0.6791,18.99
HistGB,HYBRID_AUG,59,7415,61.914,7.869,6.561,0.4705,21.29
HistGB,HYBRID_AUG,65,40034,26.861,5.183,3.938,0.8831,20.45
