segment_id,profile_id,in_train,label_kmeans,label_gmm,label_hdbscan,label_kmedoids_dtw
53_358,53,True,0,2,0,0
53_359,53,True,1,2,-1,0
53_360,53,True,0,2,0,1
53_361,53,True,0,2,0,0
53_362,53,True,0,2,0,1
53_363,53,True,0,2,-1,0
53_364,53,True,0,2,-1,1
53_365,53,True,0,2,-1,0
53_366,53,True,1,1,-1,1
53_367,53,True,0,1,2,1
53_368,53,True,0,2,-1,0
53_369,53,True,0,2,-1,0
53_370,53,True,0,1,2,1
53_371,53,True,0,2,0,0
53_372,53,True,0,2,-1,1
53_373,53,True,0,2,-1,1
53_374,53,True,0,2,0,0
53_375,53,True,0,2,-1,1
53_376,53,True,0,2,-1,0
53_377,53,True,0,2,-1,0
53_378,53,True,0,2,0,1
53_379,53,True,0,2,-1,0
53_380,53,True,0,2,-1,0
53_381,53,True,0,1,-1,1
53_382,53,True,0,1,-1,1
53_383,53,True,0,2,0,1
53_384,53,True,0,2,0,0
53_385,53,True,0,1,-1,1
53_386,53,True,0,2,0,0
53_387,53,True,0,1,-1,1
53_388,53,True,0,2,-1,1
54_389,54,False,0,2,-1,0
54_390,54,False,0,2,-1,1
54_391,54,False,0,2,-1,0
54_392,54,False,0,2,-1,1
54_393,54,False,1,2,2,0
54_394,54,False,0,2,-1,0
54_395,54,False,0,1,-1,1
54_396,54,False,0,1,-1,0
54_397,54,False,1,2,-1,0
54_398,54,False,0,2,0,1
54_399,54,False,0,2,0,0
54_400,54,False,1,1,-1,1
54_401,54,False,1,1,-1,1
54_402,54,False,0,2,-1,1
54_403,54,False,0,2,-1,1
54_404,54,False,0,2,0,1
54_405,54,False,0,2,-1,1
55_406,55,True,0,2,-1,0
55_407,55,True,0,2,-1,1
55_408,55,True,0,2,-1,0
55_409,55,True,0,2,-1,1
55_410,55,True,1,2,2,0
55_411,55,True,0,2,-1,0
55_412,55,True,0,1,-1,1
55_413,55,True,0,1,-1,0
55_414,55,True,1,2,-1,0
55_415,55,True,0,2,0,1
55_416,55,True,0,2,0,0
55_417,55,True,1,1,-1,1
55_418,55,True,1,1,-1,1
55_419,55,True,0,2,-1,1
55_420,55,True,0,2,-1,1
55_421,55,True,0,2,0,1
55_422,55,True,0,2,-1,1
56_423,56,False,1,1,-1,1
56_424,56,False,1,1,-1,1
56_425,56,False,1,1,-1,1
56_426,56,False,1,1,-1,1
56_427,56,False,1,1,2,0
56_428,56,False,1,1,-1,1
56_429,56,False,1,1,2,1
56_430,56,False,1,1,2,1
56_431,56,False,1,1,-1,1
56_432,56,False,1,1,-1,1
56_433,56,False,1,1,2,1
56_434,56,False,1,1,-1,1
56_435,56,False,1,2,-1,0
56_436,56,False,1,1,-1,0
56_437,56,False,1,1,-1,0
56_438,56,False,1,1,-1,0
56_439,56,False,1,1,2,0
56_440,56,False,1,1,-1,0
56_441,56,False,1,1,2,0
56_442,56,False,1,1,-1,0
56_443,56,False,1,1,-1,0
56_444,56,False,1,1,-1,0
56_445,56,False,1,1,-1,0
56_446,56,False,1,1,-1,0
56_447,56,False,1,1,-1,0
56_448,56,False,1,1,-1,0
56_449,56,False,1,1,-1,0
56_450,56,False,1,1,-1,1
56_451,56,False,1,1,2,1
56_452,56,False,1,1,2,1
56_453,56,False,1,1,-1,1
56_454,56,False,1,1,-1,1
56_455,56,False,1,1,-1,1
56_456,56,False,1,1,-1,1
56_457,56,False,1,1,-1,1
56_458,56,False,1,1,-1,1
56_459,56,False,1,1,-1,1
56_460,56,False,1,1,-1,1
56_461,56,False,1,1,-1,1
56_462,56,False,1,1,2,1
56_463,56,False,1,1,2,1
56_464,56,False,1,1,-1,1
56_465,56,False,1,1,-1,1
56_466,56,False,1,1,2,1
56_467,56,False,1,1,2,1
56_468,56,False,1,1,2,1
56_469,56,False,1,1,2,1
56_470,56,False,1,1,-1,1
56_471,56,False,1,1,-1,1
56_472,56,False,1,1,2,1
56_473,56,False,1,1,2,0
56_474,56,False,1,1,2,1
56_475,56,False,1,1,-1,1
56_476,56,False,1,1,2,1
56_477,56,False,1,1,2,0
56_478,56,False,1,1,-1,0
56_479,56,False,1,1,2,0
56_480,56,False,1,1,-1,0
56_481,56,False,1,1,2,0
56_482,56,False,1,2,2,0
56_483,56,False,1,1,2,0
56_484,56,False,1,1,2,0
56_485,56,False,1,1,2,0
56_486,56,False,1,1,2,0
56_487,56,False,1,1,2,0
56_488,56,False,1,1,2,0
56_489,56,False,1,1,-1,0
56_490,56,False,1,1,-1,0
56_491,56,False,1,1,1,0
56_492,56,False,1,1,-1,0
57_493,57,True,1,1,2,1
57_494,57,True,1,1,2,1
57_495,57,True,1,1,2,1
57_496,57,True,1,1,-1,1
57_497,57,True,1,1,-1,1
57_498,57,True,1,1,-1,1
57_499,57,True,1,1,-1,1
57_500,57,True,1,1,2,1
57_501,57,True,1,1,-1,1
57_502,57,True,1,1,2,1
57_503,57,True,1,1,2,0
57_504,57,True,1,1,-1,0
57_505,57,True,1,1,-1,0
57_506,57,True,1,2,-1,0
57_507,57,True,1,1,2,0
57_508,57,True,1,1,2,1
57_509,57,True,1,1,2,0
57_510,57,True,1,1,2,0
57_511,57,True,1,1,2,1
57_512,57,True,1,1,-1,1
57_513,57,True,1,1,2,1
57_514,57,True,1,1,-1,1
57_515,57,True,1,1,-1,1
57_516,57,True,1,1,-1,0
57_517,57,True,1,1,-1,0
57_518,57,True,1,1,-1,0
57_519,57,True,1,1,-1,0
57_520,57,True,1,1,-1,1
57_521,57,True,1,1,-1,0
57_522,57,True,1,1,2,1
57_523,57,True,1,1,-1,1
57_524,57,True,1,1,-1,0
58_525,58,False,1,2,-1,0
