Model,Dataset,profile_id,n_test,MSE,RMSE,MAE,R2,linf
OLS,HYBRID_AUG,56,33063,24.271,4.927,3.836,0.7994,16.43
OLS,HYBRID_AUG,59,7415,30.67,5.538,4.027,0.7377,15.78
OLS,HYBRID_AUG,65,40034,27.251,5.22,3.867,0.8814,54.52
WLS,HYBRID_AUG,2,19297,125.544,11.205,8.947,-1.2103,23.86
WLS,HYBRID_AUG,6,40328,26.199,5.118,4.102,0.8648,21.35
WLS,HYBRID_AUG,12,21882,53.904,7.342,6.32,-0.3726,13.56
WLS,HYBRID_AUG,14,18538,39.113,6.254,5.47,0.5555,20.04
WLS,HYBRID_AUG,20,43911,37.998,6.164,4.713,0.8955,16.77
WLS,HYBRID_AUG,26,16606,43.714,6.612,4.392,0.9192,30.82
WLS,HYBRID_AUG,43,8383,53.742,7.331,5.212,0.4799,19.15
WLS,HYBRID_AUG,45,17082,40.944,6.399,4.174,0.7987,21.68
WLS,HYBRID_AUG,56,33063,17.485,4.181,3.363,0.8555,14.41
WLS,HYBRID_AUG,59,7415,29.846,5.463,3.891,0.7448,16.3
WLS,HYBRID_AUG,65,40034,27.996,5.291,3.774,0.8782,60.49
HistGB,HYBRID_AUG,2,19297,49.669,7.048,5.498,0.1255,15.21
HistGB,HYBRID_AUG,6,40328,52.607,7.253,6.045,0.7285,19.58
HistGB,HYBRID_AUG,12,21882,34.384,5.864,4.605,0.1244,10.54
HistGB,HYBRID_AUG,14,18538,45.987,6.781,5.244,0.4774,20.13
HistGB,HYBRID_AUG,20,43911,34.612,5.883,4.908,0.9048,18.14
HistGB,HYBRID_AUG,26,16606,22.234,4.715,2.854,0.9589,22.18
HistGB,HYBRID_AUG,43,8383,54.549,7.386,5.421,0.4721,22.14
HistGB,HYBRID_AUG,45,17082,73.611,8.58,6.894,0.6381,26.27
HistGB,HYBRID_AUG,56,33063,43.257,6.577,5.492,0.6425,16.99
HistGB,HYBRID_AUG,59,7415,74.03,8.604,7.2,0.3669,21.11
HistGB,HYBRID_AUG,65,40034,19.633,4.431,3.376,0.9146,18.67
