spany,MSE_val,MSE_train,MSE_test
"(120, 3360, 6360, 14400)",59.35199608938189,15.146026624266804,63.89550898268754
"(60, 3360, 6360, 14400)",59.503335644863014,15.272298225981663,64.57074464580089
"(120, 1320, 3360, 9480)",59.602892524036314,15.487485042006687,47.83517978922261
"(60, 1320, 3360, 9480)",59.858704509800454,15.593688531769676,47.93664073221427
"(360, 1320, 3360, 14400)",59.90292077882451,15.197813060836996,50.81576055655126
"(360, 1320, 9480, 14400)",59.91446110114223,14.740008182536364,63.59370433744068
"(120, 1320, 3360, 21600)",60.00619232568792,15.059877041781608,55.13334714790172
"(120, 1320, 6360, 21600)",60.208560663537604,14.816270670732358,64.17614333670997
"(1320, 3360, 6360, 9480)",60.308739292778846,14.892896195366706,57.9236591618438
"(360, 3360, 6360, 9480)",60.3290820756435,15.17002559037619,58.936620552891476
"(60, 1320, 3360, 21600)",60.34232875948918,15.143003102458563,55.392377505346204
"(360, 6360, 9480, 14400)",60.53233995488584,14.872181843952573,74.23817157952885
"(360, 6360, 9480, 21600)",60.64101213935855,14.730535967447564,80.04169025444006
"(60, 1320, 6360, 21600)",60.66185452919104,14.940970264631293,64.84491457904943
"(120, 3360, 6360, 9480)",60.7040359391256,15.293423865082172,60.28505608434559
"(120, 1320, 3360, 14400)",60.76341671161737,15.217569965752112,51.35013663088995
"(120, 360, 3360, 9480)",60.83034576778567,15.832054515399436,45.10379957385381
"(60, 3360, 6360, 9480)",60.8669329795568,15.416633515819283,60.82336166238119
"(360, 1320, 6360, 14400)",60.917407131028114,14.883857493055693,58.79734505070183
"(60, 360, 3360, 9480)",60.944064528373424,15.939063090193788,44.97812205386343
"(60, 1320, 3360, 14400)",61.079719701912154,15.30922335401291,51.521669890465276
"(60, 120, 3360, 9480)",61.19564206876044,16.28761993381201,44.0953567531004
"(120, 6360, 9480, 14400)",61.21568823798567,15.213568743811189,78.63390196858388
"(120, 360, 14400, 21600)",61.300596234799656,16.10955656617125,82.53020921232715
"(120, 1320, 9480, 14400)",61.34407156743971,14.859538088596965,65.62302384936696
"(60, 6360, 9480, 14400)",61.4482212490786,15.397791192978568,80.30583519422505
"(120, 6360, 9480, 21600)",61.630759373636906,15.093140753135819,85.82118157502954
"(360, 1320, 6360, 9480)",61.70547856116389,15.068262355897565,54.813050783340785
"(60, 1320, 9480, 14400)",61.84692043520006,15.003530054980548,66.40310279281627
"(60, 6360, 9480, 21600)",61.94110091395591,15.282373895962063,88.02904415769466
"(60, 360, 14400, 21600)",62.15208346316322,16.478484739177294,83.98904390316191
"(120, 1320, 6360, 14400)",62.37408277030014,14.95487339337567,60.27289103674333
"(60, 1320, 6360, 14400)",62.87707344453711,15.077304806139038,60.82916811056138
"(120, 1320, 6360, 9480)",63.07242028424732,15.126533289327337,55.97368890795075
"(120, 360, 3360, 21600)",63.093019641123355,15.341233680995316,52.911518031256946
"(120, 360, 3360, 14400)",63.11726790002334,15.514001300544441,48.67275304388639
"(360, 6360, 14400, 21600)",63.32547661320401,14.618349835627935,87.16581222500429
"(60, 360, 3360, 14400)",63.38462876838537,15.61598143689282,48.590044772104505
"(60, 360, 3360, 21600)",63.46186536100978,15.439429597282428,52.89312739268474
"(60, 1320, 6360, 9480)",63.55964834478346,15.2464498562145,56.390568063667544
"(60, 120, 3360, 14400)",64.12269138730855,15.971910624971025,47.859709768500416
"(60, 120, 3360, 21600)",64.55087399105341,15.796702147452415,52.41370584506242
"(120, 6360, 14400, 21600)",65.0231311960782,15.025056718267232,95.50148395731341
"(120, 360, 9480, 21600)",65.50777056022501,15.807466523675156,76.75646108662684
"(60, 6360, 14400, 21600)",65.55406666879728,15.226162105555503,98.67094679685336
"(60, 120, 14400, 21600)",66.17329214850642,17.763315227554113,89.41530965246938
"(60, 360, 9480, 21600)",66.47924877067838,16.10325368526377,77.9708588811754
"(120, 360, 6360, 21600)",67.0244107998071,15.46701489573775,67.85160413552167
"(60, 360, 6360, 21600)",67.91966978159994,15.677308064618925,68.58561613300238
"(120, 360, 6360, 9480)",68.62509917010232,15.59860056070176,56.71957210141267
"(120, 360, 6360, 14400)",69.1827245005688,15.509777015073594,62.84017776838162
"(120, 360, 9480, 14400)",69.18874799388271,15.752567159543686,71.95331700922226
"(60, 360, 6360, 9480)",69.31748735344007,15.770140163716782,57.0697800979106
"(60, 360, 6360, 14400)",70.04643653671764,15.703164899993448,63.410137915937845
"(360, 9480, 14400, 21600)",70.21085348733114,14.64232189027254,95.89247852481587
"(60, 360, 9480, 14400)",70.22871126122622,16.016536115902152,72.98781092122113
"(60, 120, 9480, 21600)",70.61094295045979,17.09686328227277,82.23694920917156
"(60, 120, 6360, 21600)",71.27215531979967,16.36167145682414,70.75104928785484
"(60, 120, 6360, 9480)",71.46136920275244,16.322390516625262,57.604575504971365
"(60, 120, 6360, 14400)",73.01218887012715,16.328646849068026,64.87271757869432
"(120, 9480, 14400, 21600)",73.76606487119166,15.149124605239235,107.77601248551255
"(60, 120, 9480, 14400)",74.29677935902441,16.887844036569337,76.44726044608787
"(60, 9480, 14400, 21600)",74.89118193388934,15.377137964061838,112.28465913970227
