Model,Dataset,profile_id,n_test,RMSE,MAE,R2,nRMSE
KNN,CLUSTER_AWARE_GAN,26,256,7.554107296586397,5.842391014099121,0.8962535858154297,0.10567665796087157
KNN,CLUSTER_AWARE_GAN,43,1280,19.445755067281876,15.864953994750977,-2.0673112869262695,0.4741152001784949
KNN,CLUSTER_AWARE_GAN,45,1792,18.76821299676122,14.86026668548584,-0.3050117492675781,0.2967413426061247
KNN,CLUSTER_AWARE_GAN,56,8960,12.485133371248045,10.356253623962402,-0.17485034465789795,0.28962231990495785
KNN,CLUSTER_AWARE_GAN,59,2048,14.367380793289186,12.746551513671875,-0.7492660284042358,0.3145801917551971
KNN,CLUSTER_AWARE_GAN,65,6144,11.382283655997417,9.607787132263184,0.20677876472473145,0.17035143459566687
HistGB,CLUSTER_AWARE_GAN,2,256,6.043229455631978,5.150457382202148,0.37859028577804565,0.26351774418462537
HistGB,CLUSTER_AWARE_GAN,6,1280,9.733015084833761,7.682482719421387,0.04907333850860596,0.14078361080979684
HistGB,CLUSTER_AWARE_GAN,12,256,3.3059687013431107,2.7694621086120605,0.725383460521698,0.1397600303963099
HistGB,CLUSTER_AWARE_GAN,14,256,8.67540354380989,6.885965824127197,0.15914058685302734,0.24133142095829652
HistGB,CLUSTER_AWARE_GAN,20,2304,11.913511129659613,10.222527503967285,0.6414058804512024,0.1446117704377065
HistGB,CLUSTER_AWARE_GAN,26,256,7.967234747941634,6.791370868682861,0.8845956921577454,0.11145602098247473
HistGB,CLUSTER_AWARE_GAN,43,1280,13.913568452591914,12.046525001525879,-0.5703096389770508,0.3392326124274218
HistGB,CLUSTER_AWARE_GAN,45,1792,12.238768742285657,9.630159378051758,0.445062518119812,0.1935052990425055
HistGB,CLUSTER_AWARE_GAN,56,8960,10.018996696266782,8.589826583862305,0.24343782663345337,0.2324144228186831
HistGB,CLUSTER_AWARE_GAN,59,2048,13.470631620668929,11.963953971862793,-0.5377175807952881,0.2949454698293357
HistGB,CLUSTER_AWARE_GAN,65,6144,11.000411979589815,9.364871978759766,0.2591105103492737,0.1646362029362265
Ridge,GLOBAL_AUG,2,256,8.628762129568289,6.899940490722656,-0.26688408851623535,0.3762610617689629
Ridge,GLOBAL_AUG,6,1280,11.177067330317255,8.972820281982422,-0.2540299892425537,0.1616711659553701
Ridge,GLOBAL_AUG,12,256,8.455359426265908,6.923002243041992,-0.7963598966598511,0.35745084033812924
Ridge,GLOBAL_AUG,14,256,8.014263788537637,7.501713752746582,0.282418429851532,0.22293990801182165
Ridge,GLOBAL_AUG,20,2304,9.994793108525387,7.898833274841309,0.7476105690002441,0.12132147364886381
Ridge,GLOBAL_AUG,26,256,21.37661612128718,17.739166259765625,0.16922259330749512,0.2990438527701262
Ridge,GLOBAL_AUG,43,1280,9.999412137872273,7.838926792144775,0.18893218040466309,0.24379990753824005
Ridge,GLOBAL_AUG,45,1792,11.267747909158064,8.590483665466309,0.5296264886856079,0.17815263729625805
Ridge,GLOBAL_AUG,56,8960,7.869402637034754,6.885222434997559,0.5332549810409546,0.18254948347230737
Ridge,GLOBAL_AUG,59,2048,13.722696835799645,11.888912200927734,-0.5958042144775391,0.300464549809987
Ridge,GLOBAL_AUG,65,6144,10.342550986138715,8.392680168151855,0.3450760245323181,0.15479041386736278
RandomForest,GLOBAL_AUG,2,256,13.740461890662555,12.327653884887695,-2.2124955654144287,0.5991590337692306
RandomForest,GLOBAL_AUG,6,1280,10.428768686119842,8.199316024780273,-0.09173762798309326,0.15084736837815851
RandomForest,GLOBAL_AUG,12,256,2.36600618503823,1.9458367824554443,0.8593431115150452,0.10002305714644492
RandomForest,GLOBAL_AUG,14,256,10.822682079211942,7.921568870544434,-0.308620810508728,0.301064178924533
RandomForest,GLOBAL_AUG,20,2304,13.323419381987506,11.228151321411133,0.5515077114105225,0.16172589626550476
RandomForest,GLOBAL_AUG,26,256,9.718037177436154,8.094076156616211,0.8283025622367859,0.13594851787649725
RandomForest,GLOBAL_AUG,43,1280,15.462709422686235,13.146575927734375,-0.9394537210464478,0.37700287532540255
RandomForest,GLOBAL_AUG,45,1792,14.254399741388786,11.385655403137207,0.24722278118133545,0.22537413221141736
RandomForest,GLOBAL_AUG,56,8960,9.973196347497737,8.245174407958984,0.2503390312194824,0.23135197495621218
RandomForest,GLOBAL_AUG,59,2048,14.045667008681004,12.73116397857666,-0.6718041896820068,0.30753612537257546
RandomForest,GLOBAL_AUG,65,6144,10.376009972372682,9.021925926208496,0.3408317565917969,0.15529117333508782
KNN,GLOBAL_AUG,2,256,6.9173530636351375,5.446774482727051,0.18582123517990112,0.3016342980918822
KNN,GLOBAL_AUG,6,1280,12.483548744560279,9.828798294067383,-0.5643298625946045,0.180568821959174
KNN,GLOBAL_AUG,12,256,2.8517313868009766,2.3797991275787354,0.7956632375717163,0.12055711995685074
KNN,GLOBAL_AUG,14,256,17.307191551332966,13.00057601928711,-2.3465492725372314,0.48144954972853504
KNN,GLOBAL_AUG,20,2304,16.017815208471298,12.739914894104004,0.35176849365234375,0.19443173306602163
KNN,GLOBAL_AUG,26,256,9.753368089378872,6.4417829513549805,0.8270518183708191,0.13644277253164408
KNN,GLOBAL_AUG,43,1280,19.02844839035835,15.7111177444458,-1.9370746612548828,0.46394066913144333
KNN,GLOBAL_AUG,45,1792,18.32489031957925,14.357065200805664,-0.2440887689590454,0.2897320356221608
KNN,GLOBAL_AUG,56,8960,12.017836983489115,9.846648216247559,-0.08855092525482178,0.2787822703931424
KNN,GLOBAL_AUG,59,2048,14.826986319391736,12.998564720153809,-0.8629724979400635,0.32464345913936926
KNN,GLOBAL_AUG,65,6144,11.389555285633069,9.58627700805664,0.20576488971710205,0.17046026447354723
HistGB,GLOBAL_AUG,2,256,9.45351682749414,8.512657165527344,-0.5206409692764282,0.4122248621010097
HistGB,GLOBAL_AUG,6,1280,9.947354019524292,7.7901411056518555,0.00672990083694458,0.14388392545020856
HistGB,GLOBAL_AUG,12,256,4.370461862280512,3.4244465827941895,0.5200634002685547,0.18476154431531136
HistGB,GLOBAL_AUG,14,256,6.933333236743241,5.515179634094238,0.46293336153030396,0.19287070089027988
HistGB,GLOBAL_AUG,20,2304,12.73858011474763,10.605902671813965,0.5900171995162964,0.1546268436909456
HistGB,GLOBAL_AUG,26,256,9.271130732077374,7.29574728012085,0.8437312245368958,0.12969661044224223
HistGB,GLOBAL_AUG,43,1280,15.023763525128595,13.509977340698242,-0.8309046030044556,0.36630074926405853
HistGB,GLOBAL_AUG,45,1792,12.8352176884676,10.65634822845459,0.3896554112434387,0.2029356620246701
HistGB,GLOBAL_AUG,56,8960,9.769217698511891,8.238018035888672,0.28069061040878296,0.2266202057573018
HistGB,GLOBAL_AUG,59,2048,13.476941797198581,11.935895919799805,-0.5391585826873779,0.2950836339506371
HistGB,GLOBAL_AUG,65,6144,10.309131788962032,8.869007110595703,0.34930163621902466,0.15429024989727197
Ridge,GLOBAL_GAN,2,256,9.996910380866977,8.241406440734863,-0.7004797458648682,0.4359197829112445
Ridge,GLOBAL_GAN,6,1280,10.392212710581546,8.54020881652832,-0.08409726619720459,0.15031860291462038
Ridge,GLOBAL_GAN,12,256,9.282900474040293,7.867404460906982,-1.1651928424835205,0.39243518908412744
Ridge,GLOBAL_GAN,14,256,7.89766809355255,7.171931743621826,0.3031460642814636,0.21969646180136285
Ridge,GLOBAL_GAN,20,2304,9.976991505312126,7.998157024383545,0.7485088109970093,0.1211053894626586
Ridge,GLOBAL_GAN,26,256,20.50578859060671,17.174461364746094,0.23553133010864258,0.2868615869524013
Ridge,GLOBAL_GAN,43,1280,9.962021999785925,7.803418159484863,0.19498640298843384,0.24288828272644053
Ridge,GLOBAL_GAN,45,1792,11.278934484167577,8.560602188110352,0.5286920666694641,0.17832950652126417
Ridge,GLOBAL_GAN,56,8960,7.844176504994256,6.840728282928467,0.5362426042556763,0.1819643034292473
Ridge,GLOBAL_GAN,59,2048,13.765745822752962,11.994607925415039,-0.6058322191238403,0.3014071265235496
Ridge,GLOBAL_GAN,65,6144,10.61693922458517,8.608382225036621,0.30986475944519043,0.15889700894689257
RandomForest,GLOBAL_GAN,2,256,9.60106506797309,8.379837036132812,-0.5684789419174194,0.4186587696292417
RandomForest,GLOBAL_GAN,6,1280,9.903258633155845,7.922656059265137,0.015516519546508789,0.1432461058579348
RandomForest,GLOBAL_GAN,12,256,2.2552045391893665,1.9153656959533691,0.8722087740898132,0.09533891074617591
RandomForest,GLOBAL_GAN,14,256,12.515792026429175,9.716938018798828,-0.7500911951065063,0.3481629250908837
RandomForest,GLOBAL_GAN,20,2304,13.25501947874223,11.125479698181152,0.5561008453369141,0.16089562624700102
RandomForest,GLOBAL_GAN,26,256,9.658306803980924,7.9455156326293945,0.830406665802002,0.13511293188364862
RandomForest,GLOBAL_GAN,43,1280,15.571522743670274,12.969375610351562,-0.9668461084365845,0.3796558990461032
RandomForest,GLOBAL_GAN,45,1792,14.03242008623468,11.400144577026367,0.2704858183860779,0.22186444586498463
RandomForest,GLOBAL_GAN,56,8960,9.772579164572269,8.344964027404785,0.2801954746246338,0.22669818294582988
RandomForest,GLOBAL_GAN,59,2048,13.94387138036871,12.568161964416504,-0.6476593017578125,0.3053072648213691
RandomForest,GLOBAL_GAN,65,6144,11.472160809229118,9.879071235656738,0.19420236349105835,0.17169656905665243
KNN,GLOBAL_GAN,2,256,7.534627449935807,5.934844017028809,0.03403043746948242,0.32855082592110574
KNN,GLOBAL_GAN,6,1280,12.029606218877241,9.580131530761719,-0.45263004302978516,0.17400275098232332
KNN,GLOBAL_GAN,12,256,2.65885384784115,2.3529255390167236,0.8223692178726196,0.11240321012193935
KNN,GLOBAL_GAN,14,256,26.44004863601805,21.972997665405273,-6.810314178466797,0.7355063629391132
KNN,GLOBAL_GAN,20,2304,15.90212401592232,12.983567237854004,0.36109858751296997,0.19302741925823863
KNN,GLOBAL_GAN,26,256,7.740450482331994,6.0216522216796875,0.8910720944404602,0.10828346831320469
KNN,GLOBAL_GAN,43,1280,19.48548857834257,15.878689765930176,-2.0798587799072266,0.47508395976047846
KNN,GLOBAL_GAN,45,1792,18.724489481629565,14.781583786010742,-0.298938512802124,0.29605003680168474
KNN,GLOBAL_GAN,56,8960,12.444692707612916,10.326302528381348,-0.16725170612335205,0.2886842026680627
KNN,GLOBAL_GAN,59,2048,14.378109272262371,12.756706237792969,-0.7518794536590576,0.31481509657335316
KNN,GLOBAL_GAN,65,6144,11.410517314982165,9.636019706726074,0.20283865928649902,0.17077398989803824
HistGB,GLOBAL_GAN,2,256,8.89637910715712,7.614591598510742,-0.3466862440109253,0.38793062069560497
HistGB,GLOBAL_GAN,6,1280,9.942023633211694,7.942958831787109,0.00779414176940918,0.14380682385059548
HistGB,GLOBAL_GAN,12,256,3.5018136911031212,2.732314348220825,0.6918832659721375,0.14803938939650368
HistGB,GLOBAL_GAN,14,256,12.077584277999781,9.51406478881836,-0.6296868324279785,0.33597291017464864
HistGB,GLOBAL_GAN,20,2304,12.426829298971692,10.788819313049316,0.6098386645317078,0.1508426664728188
HistGB,GLOBAL_GAN,26,256,8.495431906692561,6.5692901611328125,0.8687867522239685,0.1188451284295518
HistGB,GLOBAL_GAN,43,1280,14.523452208841395,12.649768829345703,-0.7109918594360352,0.35410244690694526
HistGB,GLOBAL_GAN,45,1792,12.610258957747272,10.218084335327148,0.41086262464523315,0.1993788739705043
HistGB,GLOBAL_GAN,56,8960,9.801783450029363,8.33537483215332,0.2758869528770447,0.2273756457052369
HistGB,GLOBAL_GAN,59,2048,13.461958799401998,12.034308433532715,-0.5357382297515869,0.29475557455082513
HistGB,GLOBAL_GAN,65,6144,11.041108392001492,9.459039688110352,0.2536184787750244,0.16524528038032738
Ridge,HYBRID_AUG,2,256,9.383717057381274,7.523006916046143,-0.49826860427856445,0.40918121166546223
Ridge,HYBRID_AUG,6,1280,10.69388964866718,8.386049270629883,-0.14795172214508057,0.1546822218211521
Ridge,HYBRID_AUG,12,256,7.355369433493727,5.251669883728027,-0.3593716621398926,0.3109486956677882
Ridge,HYBRID_AUG,14,256,7.802302182179374,7.4384260177612305,0.31987375020980835,0.21704358337484939
Ridge,HYBRID_AUG,20,2304,10.87750110146638,8.521224975585938,0.701061487197876,0.13203619613910575
Ridge,HYBRID_AUG,26,256,22.834456738682906,18.93537139892578,0.0520440936088562,0.31943801957731616
Ridge,HYBRID_AUG,43,1280,10.232499977333633,8.070398330688477,0.15067929029464722,0.24948292099197492
Ridge,HYBRID_AUG,45,1792,11.216907573075998,8.553156852722168,0.5338616371154785,0.17734880852523216
Ridge,HYBRID_AUG,56,8960,8.53019825247705,7.391958236694336,0.45157861709594727,0.19787820711799567
Ridge,HYBRID_AUG,59,2048,14.29327033622106,12.355973243713379,-0.7312663793563843,0.31295751034019303
Ridge,HYBRID_AUG,65,6144,10.552227736021958,8.557964324951172,0.3182520866394043,0.15792851305935987
RandomForest,HYBRID_AUG,2,256,9.324235523785708,8.054980278015137,-0.47933435440063477,0.4065874925838315
RandomForest,HYBRID_AUG,6,1280,10.182829552741975,7.889376640319824,-0.04085242748260498,0.14728997131932517
RandomForest,HYBRID_AUG,12,256,2.9156205253934715,2.521366596221924,0.7864049673080444,0.12325803722447445
RandomForest,HYBRID_AUG,14,256,10.784913256158859,8.143837928771973,-0.2995030879974365,0.300013529961716
RandomForest,HYBRID_AUG,20,2304,13.514262259695426,11.554439544677734,0.5385674238204956,0.16404243637869284
RandomForest,HYBRID_AUG,26,256,8.05204106394212,6.966213226318359,0.8821257948875427,0.11264240180777155
